# AR,core_r,cool_r,PD,power,enrich,keff,ave_E,mass,q_dens
   1.00000,  23.02734,   0.97046,   1.46206, 166.89453,   0.57974,   0.86606,   0.83381, 314.55526,   4.35072
   1.00000,  18.80859,   0.54272,   1.30825, 194.66797,   0.83062,   0.74100,   0.96295, 138.81045,   9.31271
   1.00000,  48.78906,   0.64795,   1.17471, 110.11719,   0.77354,   1.11737,   0.81673,1756.85786,   0.30181
   1.00000,  39.35547,   0.67896,   1.15396, 115.44922,   0.45942,   0.73270,   0.76368, 856.95631,   0.60287
   1.00000,  29.98047,   0.99048,   1.27163, 139.23828,   0.29536,   0.61707,   0.72306, 527.76194,   1.64473
   1.00000,  14.55078,   0.67358,   1.22769, 180.13672,   0.73286,   0.47199,   1.02847,  54.39519,  18.61202
   1.00000,  25.09766,   0.62524,   1.17593, 125.64453,   0.62622,   0.64186,   0.88570, 239.96438,   2.52985
   1.00000,  18.06641,   0.57251,   1.44692, 170.17578,   0.58521,   0.69214,   0.88942, 149.01492,   9.18612
   1.00000,  31.50391,   0.62866,   1.20376,  84.27734,   0.48198,   0.71761,   0.79329, 517.21448,   0.85796
   1.00000,  46.97266,   0.76440,   1.26577, 176.97266,   0.54009,   1.08437,   0.73501,2000.51936,   0.54353
   1.00000,  42.08984,   0.66187,   1.23208,  96.69922,   0.87710,   1.19993,   0.85702,1330.69080,   0.41280
   1.00000,  42.05078,   0.77612,   1.35317,  97.63672,   0.46694,   1.04079,   0.71019,1673.91632,   0.41797
   1.00000,  11.34766,   0.98560,   1.58169, 197.48047,   0.79507,   0.57752,   1.05382,  41.72776,  43.01851
   1.00000,  27.91016,   0.94019,   1.50405, 146.03516,   0.50181,   0.94318,   0.76818, 582.97893,   2.13806
   1.00000,  23.10547,   0.69458,   1.32583, 141.69922,   0.74380,   0.86533,   0.89838, 265.88208,   3.65656
   1.00000,  13.30078,   0.62671,   1.11831, 131.38672,   0.62349,   0.25835,   1.07705,  28.31279,  17.77339
   1.00000,  48.73047,   0.70679,   1.46938, 178.02734,   0.72261,   1.41151,   0.77771,2997.88542,   0.48971
   1.00000,  19.62891,   0.89673,   1.13052, 191.73828,   0.77661,   0.52344,   0.99086,  97.07090,   8.06994
   1.00000,  45.56641,   0.80786,   1.16567, 159.51172,   0.68296,   1.02273,   0.80538,1392.66999,   0.53667
   1.00000,  31.34766,   0.91284,   1.19546, 134.43359,   0.66040,   0.85495,   0.85040, 500.06980,   1.38913
   1.00000,  14.51172,   0.66577,   1.15640, 136.30859,   0.37534,   0.25391,   0.98990,  43.34465,  14.19766
   1.00000,  22.48047,   0.62427,   1.25552, 192.32422,   0.21812,   0.38270,   0.77182, 213.97667,   5.38850
   1.00000,  21.42578,   0.93140,   1.59536,  97.51953,   0.65630,   0.94094,   0.85791, 283.57149,   3.15596
   1.00000,  46.03516,   0.95825,   1.17935,  85.91797,   0.54897,   0.96657,   0.76152,1507.58655,   0.28033
   1.00000,  14.82422,   0.76978,   1.11733,  96.58203,   0.55513,   0.29288,   1.03435,  39.20653,   9.43693
   1.00000,  36.69922,   0.88550,   1.27749, 189.16016,   0.84087,   1.17918,   0.86252, 978.59899,   1.21817
   1.00000,  14.51172,   0.81128,   1.15640,  98.22266,   0.29946,   0.23346,   0.97385,  43.50094,  10.23070
   1.00000,  11.26953,   0.84448,   1.54995, 171.11328,   0.53872,   0.44236,   1.00318,  39.87499,  38.05541
   1.00000,  41.07422,   0.73169,   1.26528,  95.29297,   0.38491,   0.85243,   0.69862,1335.54644,   0.43773
   1.00000,  39.19922,   0.53687,   1.12368,  86.62109,   0.39175,   0.57658,   0.75750, 740.41405,   0.45776
   1.00000,  17.53906,   0.78271,   1.31533, 119.96094,   0.72432,   0.67440,   0.95675, 114.40018,   7.07736
   1.00000,  30.68359,   0.58667,   1.44106, 144.04297,   0.72466,   1.12215,   0.83012, 725.53113,   1.58717
   1.00000,  39.47266,   0.98315,   1.42202, 162.55859,   0.32134,   0.88513,   0.65367,1517.04928,   0.84134
   1.00000,  43.02734,   0.72046,   1.55630, 123.88672,   0.27007,   0.89309,   0.60512,2228.69235,   0.49504
   1.00000,  37.59766,   0.96899,   1.58218, 156.23047,   0.84497,   1.41126,   0.84120,1518.15531,   0.93569
   1.00000,  39.78516,   0.55884,   1.44497, 124.70703,   0.69731,   1.26100,   0.78736,1587.71748,   0.63034
   1.00000,  33.92578,   0.72144,   1.37661, 170.76172,   0.41226,   0.88147,   0.71815, 908.10498,   1.39204
   1.00000,  16.23047,   0.92554,   1.27944, 170.52734,   0.76636,   0.61584,   0.99295,  85.01010,  12.69553
   1.00000,  14.04297,   0.95386,   1.14272, 141.81641,   0.84360,   0.40404,   1.08539,  37.47010,  16.30045
   1.00000,  17.79297,   0.51782,   1.22866, 179.55078,   0.68364,   0.54397,   0.96101,  99.27894,  10.14594
   1.00000,  12.63672,   0.85962,   1.48794, 174.98047,   0.40132,   0.40526,   0.93999,  53.28886,  27.60175
   1.00000,  42.63672,   0.98462,   1.41030,  84.39453,   0.60435,   1.22464,   0.75504,1885.65404,   0.34659
   1.00000,  29.19922,   0.66675,   1.24868, 116.62109,   0.56675,   0.80542,   0.81985, 462.15239,   1.49112
   1.00000,  16.38672,   0.50122,   1.53481, 133.73047,   0.64194,   0.70713,   0.91768, 120.71492,   9.67396
   1.00000,  22.05078,   0.52612,   1.44644,  88.14453,   0.60161,   0.82657,   0.84882, 270.60731,   2.61682
   1.00000,  34.78516,   0.87134,   1.13247, 139.70703,   0.60981,   0.75226,   0.83858, 544.61617,   1.05654
   1.00000,  11.85547,   0.52271,   1.49771, 152.94922,   0.50317,   0.42369,   0.98588,  44.26420,  29.21737
   1.00000,  49.27734,   0.83862,   1.29067, 163.14453,   0.72944,   1.29474,   0.79211,2429.07656,   0.43399
   1.00000,  17.20703,   0.94507,   1.54604, 169.35547,   0.20513,   0.40020,   0.77048, 141.56575,  10.58112
   1.00000,  27.48047,   0.78491,   1.23501, 196.77734,   0.52573,   0.73349,   0.82481, 373.83906,   3.01823
   1.00000,  25.17578,   0.82202,   1.53237, 101.26953,   0.45942,   0.85380,   0.76862, 438.21055,   2.02013
   1.00000,  27.05078,   0.71362,   1.25894, 193.14453,   0.33911,   0.59090,   0.76367, 376.25337,   3.10594
   1.00000,  17.94922,   0.53638,   1.10122, 192.20703,   0.22085,   0.16852,   0.92669,  63.29966,  10.57993
   1.00000,  13.10547,   0.81958,   1.29507, 171.69922,   0.36030,   0.31503,   0.96328,  46.06083,  24.28067
   1.00000,  14.82422,   0.99780,   1.12905, 182.24609,   0.35894,   0.23927,   0.99340,  41.61400,  17.80708
   1.00000,  45.99609,   0.94995,   1.35122, 174.98047,   0.74858,   1.33106,   0.80157,2187.53626,   0.57237
   1.00000,  30.44922,   0.63013,   1.56265, 119.66797,   0.35210,   0.84751,   0.69051, 793.15436,   1.34927
   1.00000,  40.72266,   0.99878,   1.59390, 173.22266,   0.56196,   1.25187,   0.73143,1945.47035,   0.81648
   1.00000,  24.12109,   0.72339,   1.23403, 165.60547,   0.89077,   0.86076,   0.94337, 251.96085,   3.75607
   1.00000,  43.45703,   0.71069,   1.42153, 170.17578,   0.31450,   0.91045,   0.63629,2019.20702,   0.66004
   1.00000,  28.80859,   0.73511,   1.43325, 104.66797,   0.65562,   1.04111,   0.82043, 596.32034,   1.39347
   1.00000,  41.19141,   0.85132,   1.16860, 156.46484,   0.87026,   1.08403,   0.87128,1040.21073,   0.71260
   1.00000,  32.94922,   0.61499,   1.35806, 180.37109,   0.63237,   1.03785,   0.79966, 809.38896,   1.60502
   1.00000,  43.37891,   0.81860,   1.50601, 135.48828,   0.75474,   1.39622,   0.79884,2191.18809,   0.52834
   1.00000,  44.19922,   0.72437,   1.43618, 191.62109,   0.88462,   1.44331,   0.84284,2160.39241,   0.70640
   1.00000,  44.00391,   0.72339,   1.13882,  86.50391,   0.47720,   0.77773,   0.75711,1128.93422,   0.32316
   1.00000,  33.73047,   0.53735,   1.33364, 136.07422,   0.58999,   0.99065,   0.78437, 835.38068,   1.12865
   1.00000,  14.16016,   0.97290,   1.32046, 145.33203,   0.82241,   0.59855,   1.03283,  60.82835,  16.29322
   1.00000,  25.09766,   0.95972,   1.27358, 148.84766,   0.59478,   0.78300,   0.85371, 310.76264,   2.99704
   1.00000,  22.40234,   0.84644,   1.25161,  80.76172,   0.35005,   0.51506,   0.81455, 210.68167,   2.28652
   1.00000,  47.12891,   0.66870,   1.36538, 129.62891,   0.81626,   1.38418,   0.81695,2395.41638,   0.39418
   1.00000,  37.79297,   0.98755,   1.32974,  86.38672,   0.86890,   1.27286,   0.86321,1174.25664,   0.50941
   1.00000,  24.31641,   0.64136,   1.48892,  96.81641,   0.23110,   0.55375,   0.69786, 379.39143,   2.14339
   1.00000,  42.44141,   0.72095,   1.21304, 195.13672,   0.88052,   1.18157,   0.86036,1300.37696,   0.81249
   1.00000,  34.47266,   0.79565,   1.23452, 117.55859,   0.58384,   0.90732,   0.80109, 737.20738,   0.91344
